o_node,d_node,origin,destination,opt_path,length,match_ids,hazard,OD
11695230685,11695230689,A_6,B_1,"[11695230685, 45196836, 45195081, 45192216, 45185142, 45183139, 45181360, 9496544822, 9496521289, 9496544821, 45176824, 45174555, 45171953, 6219556080, 1541925898, 9496331435, 45165486, 45165088, 45163633, 45162863, 45158862, 1530188523, 6518598462, 9496187106, 1428496907, 45153604, 45152371, 45151097, 9496187091, 3787485297, 1166971004, 1166970976, 11126334594, 1166970968, 7283779414, 45130346, 45129556, 11695230689]",2753.5660000000007,"[390, 384, 385, 344, 332, 334, 680, 681, 677, 678, 298, 280, 600, 536, 675, 674, 220, 217, 204, 195, 174, 530, 622, 667, 506, 140, 129, 665, 666, 594, 488, 485, 706, 657, 658, 14, 39]",EV1_ma,A_6B_1
11695230685,45181360,A_6,B_2,"[11695230685, 45196836, 45195081, 45192216, 45185142, 45183139, 45181360]",555.0450000000001,"[390, 384, 385, 344, 332, 334]",EV1_ma,A_6B_2
11695230685,11695230690,A_6,B_3,"[11695230685, 45196836, 45195081, 45194207, 45193126, 9573049503, 45193124, 3226755286, 60067172, 9554946594, 45189430, 1435019638, 45187377, 45189431, 6407061859, 11695230690]",1082.567,"[390, 384, 383, 380, 687, 378, 591, 402, 686, 685, 514, 515, 357, 368, 604]",EV1_ma,A_6B_3
11695230686,11695230689,A_7,B_1,"[11695230686, 45168110, 45166658, 45166268, 45164001, 45158861, 45157257, 45156141, 45154858, 45153205, 45152371, 45151097, 9496187091, 3787485297, 1166971004, 1166970976, 11126334594, 1166970968, 7283779414, 45130346, 45129556, 11695230689]",1529.03,"[189, 238, 224, 207, 206, 166, 158, 150, 151, 135, 129, 665, 666, 594, 488, 485, 706, 657, 658, 14, 39]",EV1_ma,A_7B_1
11695230686,45181360,A_7,B_2,"[11695230686, 45168110, 45166658, 45166268, 45164001, 45158861, 6518598462, 1530188523, 45158862, 45162863, 45163633, 45165088, 45165486, 9496331435, 1541925898, 6219556080, 45171953, 45174555, 45176824, 9496544821, 9496521289, 9496544822, 45181360]",1588.5479999999995,"[189, 238, 224, 207, 206, 172, 530, 174, 195, 204, 217, 220, 674, 675, 536, 600, 280, 298, 678, 677, 681, 680]",EV1_ma,A_7B_2
11695230686,11695230690,A_7,B_3,"[11695230686, 45168110, 45166658, 45166268, 6518598211, 6518598197, 45173445, 45171541, 45172394, 45174548, 45172395, 45174072, 45175453, 45175077, 45176823, 45177742, 45179790, 45178253, 45180609, 45183728, 1435019605, 11695230690]",1354.979,"[189, 238, 224, 223, 620, 273, 272, 264, 279, 265, 276, 292, 291, 296, 306, 313, 308, 315, 336, 511, 604]",EV1_ma,A_7B_3
11695230687,11695230689,A_8,B_1,"[11695230687, 45165088, 45163633, 45162863, 45158862, 1530188523, 6518598462, 9496187106, 1428496907, 45153604, 45152371, 45151097, 9496187091, 3787485297, 1166971004, 1166970976, 11126334594, 1166970968, 7283779414, 45130346, 45129556, 11695230689]",1484.168,"[218, 217, 204, 195, 174, 530, 622, 667, 506, 140, 129, 665, 666, 594, 488, 485, 706, 657, 658, 14, 39]",EV1_ma,A_8B_1
11695230687,45181360,A_8,B_2,"[11695230687, 45165088, 45165486, 9496331435, 1541925898, 6219556080, 45171953, 45174555, 45176824, 9496544821, 9496521289, 9496544822, 45181360]",812.353,"[218, 220, 674, 675, 536, 600, 280, 298, 678, 677, 681, 680]",EV1_ma,A_8B_2
11695230687,11695230690,A_8,B_3,"[11695230687, 45165088, 45165486, 9496331435, 9496331428, 45171544, 45178253, 45180609, 45183728, 1435019605, 11695230690]",749.889,"[218, 220, 674, 671, 670, 258, 315, 336, 511, 604]",EV1_ma,A_8B_3
11695230688,11695230689,A_9,B_1,"[11695230688, 45155959, 45156069, 45158040, 45159654, 442717567, 6407091000, 6407091003, 6407091007, 45166661, 45171953, 6219556080, 1541925898, 9496331435, 45165486, 45165088, 45163633, 45162863, 45158862, 1530188523, 6518598462, 9496187106, 1428496907, 45153604, 45152371, 45151097, 9496187091, 3787485297, 1166971004, 1166970976, 11126334594, 1166970968, 7283779414, 45130346, 45129556, 11695230689]",2571.663000000001,"[155, 154, 156, 167, 180, 605, 609, 613, 611, 227, 600, 536, 675, 674, 220, 217, 204, 195, 174, 530, 622, 667, 506, 140, 129, 665, 666, 594, 488, 485, 706, 657, 658, 14, 39]",EV1_ma,A_9B_1
