y,x,street_count,od_id,category,EV1_ma,highway,node_fid
52.0828,4.2955,3.0,nan,nan,,nan,
52.0826967,4.3007673,1.0,nan,nan,,nan,
52.082757,4.3068709,4.0,nan,nan,,nan,
52.0827577,4.3098791,3.0,nan,nan,,nan,
52.0828677,4.3011592,4.0,nan,nan,,nan,
52.082985,4.2925803,3.0,nan,nan,,nan,
52.0829485,4.3102963,3.0,nan,nan,,nan,
52.083057,4.3136936,2.0,nan,nan,,nan,
52.0831183,4.2962235,3.0,nan,nan,,nan,
52.0832228,4.3134716,4.0,nan,nan,,nan,
52.0832973,4.3127027,3.0,nan,nan,,nan,
52.0834314,4.2969638,2.0,nan,nan,,nan,
52.0833278,4.3022904,3.0,nan,nan,,nan,
52.0836137,4.3030016,3.0,nan,nan,,nan,
52.0836861,4.312162,3.0,nan,nan,,nan,
52.0838321,4.2882482,3.0,nan,nan,,nan,
52.0838078,4.2893113,3.0,nan,nan,,nan,
52.0837901,4.3136365,3.0,nan,nan,,nan,
52.0840425,4.2969886,2.0,nan,nan,,nan,
52.0839957,4.3039473,3.0,nan,nan,,nan,
52.0841179,4.2925319,3.0,nan,nan,,nan,
52.0840864,4.3054863,3.0,nan,nan,,nan,
52.0841634,4.2973148,3.0,nan,nan,,nan,
52.0842257,4.2987995,3.0,nan,nan,,nan,
52.0842905,4.2903744,3.0,nan,nan,,nan,
52.0842731,4.313405,4.0,nan,nan,,nan,
52.0844121,4.2966082,3.0,nan,nan,,nan,
52.0845028,4.2997886,4.0,nan,nan,,nan,
52.0845064,4.2994405,3.0,nan,nan,,nan,
52.08446,4.3137995,2.0,nan,nan,,nan,
52.0846,4.2985,3.0,nan,nan,,nan,
52.0845216,4.3065827,5.0,nan,nan,,nan,
52.0845518,4.3131608,3.0,nan,nan,,nan,
52.0846289,4.293811,4.0,nan,nan,,nan,
52.0847242,4.2999407,3.0,nan,nan,,nan,
52.0847123,4.299608,4.0,nan,nan,,nan,
52.0851389,4.3093258,3.0,nan,nan,,nan,
52.0850173,4.300618,4.0,nan,nan,,nan,
52.085112,4.3080655,3.0,nan,nan,,nan,
52.0850765,4.3125248,3.0,nan,nan,,nan,
52.0852146,4.2957787,3.0,nan,nan,,nan,
52.0851697,4.2935509,3.0,nan,nan,,nan,
52.0852659,4.3012075,3.0,nan,nan,,nan,
52.0853679,4.3024674,3.0,nan,nan,,nan,
52.0854306,4.3090227,4.0,nan,nan,,nan,
52.0857395,4.2975677,3.0,nan,nan,,nan,
52.0856736,4.3021335,3.0,nan,nan,,nan,
52.0858561,4.3039131,3.0,nan,nan,,nan,
52.0858988,4.3048789,4.0,nan,nan,,nan,
52.086037,4.2985282,4.0,nan,nan,,nan,
52.0860631,4.3053554,4.0,nan,nan,,nan,
52.0860599,4.3104645,3.0,B_2,repair,-9999.0,nan,
52.0864332,4.2984636,3.0,nan,nan,,nan,
52.0863063,4.2993478,3.0,nan,nan,,nan,
52.0863291,4.3127104,2.0,nan,nan,,nan,
52.0863554,4.30997,3.0,nan,nan,,nan,
52.0864187,4.3114454,4.0,nan,nan,,nan,
52.0862968,4.3044679,4.0,nan,nan,,nan,
52.0864711,4.3131367,3.0,nan,nan,,nan,
52.0865119,4.3059115,3.0,nan,nan,,nan,
52.0866308,4.3120391,3.0,nan,nan,,nan,
52.0868282,4.3008004,4.0,nan,nan,,nan,
52.0868113,4.3111517,3.0,nan,nan,,nan,
52.0868778,4.3127567,3.0,nan,nan,,nan,
52.0870146,4.3085564,3.0,nan,nan,,nan,
52.0870396,4.3074857,3.0,nan,nan,,nan,
52.0871768,4.2987962,4.0,nan,nan,,nan,
52.0872266,4.3090907,3.0,nan,nan,,nan,
52.087261,4.3018264,3.0,nan,nan,,nan,
52.0875422,4.2898477,3.0,nan,nan,,nan,
52.0876828,4.307862,3.0,nan,nan,,nan,
