name,highway,maxspeed,oneway,reversed,length,rfid_c,rfid,avgspeed,time,EV1_ma,EV1_fr,EV1_ma_PD1,node_A,node_B,edge_fid,lanes,bridge,width,ref,service,junction,tunnel,access,osmid_original
Varkenmarkt,residential,30,False,True,68.069,"[1156, 671]",408,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7477340
Laan,residential,30,True,False,80.942,"[1129, 1961, 70, 1657]",36,30.0,0.003,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[7477380, 335613653]"
Assendelftstraat,residential,30,True,False,122.106,"[1138, 86]",44,30.0,0.004,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7477491
Lange Lombardstraat,residential,50,True,False,85.502,68,34,50.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7477335
Korte Lombardstraat,residential,30,False,True,94.385,"[1162, 77, 85, 1154]",43,30.0,0.003,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7477480
Laan,residential,30,True,False,61.744,"[1130, 1139, 1335, 71]",37,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7477488
Van Boecopkade,residential,30,True,False,97.0,"[2561, 1863, 72, 75, 2829, 2830, 2831, 2832, 2269]",39,30.0,0.006,-9999.0,0.0,0.0,11695230689.0,45135174.0,11695230689_45135174,nan,nan,nan,nan,nan,nan,nan,nan,7493606
Gedempte Gracht,residential,30,True,False,128.635,"[1147, 78]",40,30.0,0.004,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7476037
Westeinde,residential,30,True,False,101.25399999999999,"[1163, 1132, 84, 92, 94, 95]",42,30.0,0.003,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,211521683
Assendelftstraat,residential,30,True,False,74.5,"[98, 1582]",48,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7477491
Noordwal,residential,30,True,False,258.462,"[96, 1545, 1546, 1549, 117, 151]",45,30.0,0.009,-9999.0,0.0,1.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493631
Bij de Westermolens,residential,"['30', '50']",False,False,27.646,"[107, 1547, 1550, 1552, 2738, 1243, 1245]",52,40.0,0.001,0.3904990255832672,0.02574847956870531,1.0,,,nan,nan,yes,nan,nan,nan,nan,nan,nan,"[144869532, 144869531, 7493580, 1346488021]"
Vleerstraat,residential,30,False,True,52.022,130,65,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7477515
Westeinde,residential,30,True,False,184.00799999999998,"[2272, 100, 1133, 1110, 1111, 1112, 1338]",49,30.0,0.006,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,810257036
De Constant Rebecqueplein,residential,30,False,False,28.171,112,53,30.0,0.001,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493591
Veenkade,residential,50,False,False,21.736,"[1840, 946, 923, 955]",489,50.0,0.0,-9999.0,0.0,1.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493579
Veenkade,residential,"['30', '50']",True,False,59.080999999999996,"[137, 1554, 2740]",70,40.0,0.001,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1346487525, 7493615]"
Joseph Ledelstraat,residential,30,False,True,15.257,123,61,30.0,0.001,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493594
